gamelabel,gamedate,versus,guestteam,hometeam,scoreoverall,score1st,score2nd,score3rd,score4th,extratime,guesttp,hometp
13-14_11-09_POR-SAC,11-09,POR-SAC,POR,SAC,96-85,21-18,24-20,24-16,27-31,,"Nicolas Batum;F;2199;4;9;2;4;2;2;2;5;7;5;0;0;2;3;12;
LaMarcus Aldridge;F;2127;10;19;0;0;2;4;2;12;14;3;1;0;1;2;22;
Robin Lopez;C;1958;4;10;0;0;4;6;6;4;10;1;1;0;2;2;12;
Wesley Matthews;G;2077;8;11;3;5;2;2;2;3;5;1;1;1;2;0;21;
Damian Lillard;G;2205;1;15;0;5;2;4;2;4;6;6;3;0;1;1;4;
Mo Williams;null;1502;3;5;2;3;0;0;1;1;2;5;0;0;1;4;8;
Dorell Wright;null;688;3;5;2;3;0;0;1;1;2;2;0;0;0;1;8;
Joel Freeland;null;891;2;5;0;0;0;0;1;0;1;2;0;1;1;3;4;
Thomas Robinson;null;753;1;3;0;0;3;4;2;3;5;0;0;0;2;1;5;","John Salmons;F;1441;0;2;0;2;0;0;0;3;3;1;0;1;0;4;0;
Patrick Patterson;F;1676;3;7;0;2;0;0;1;1;2;1;0;0;0;2;6;
DeMarcus Cousins;C;1872;13;24;0;0;7;11;3;9;12;0;1;1;2;4;33;
Marcus Thornton;G;1210;2;9;0;3;0;0;1;1;2;0;1;0;1;0;4;
Greivis Vasquez;G;1939;3;5;0;1;0;0;0;3;3;5;0;0;0;1;6;
Jason Thompson;null;714;3;6;0;0;1;1;1;2;3;2;1;0;2;2;7;
Isaiah Thomas;null;1040;6;10;0;1;0;0;0;0;0;1;0;0;1;0;12;
Ben McLemore;null;1670;4;8;3;3;2;2;1;2;3;1;1;0;2;2;13;
Jimmer Fredette;null;1165;2;6;0;0;0;0;0;3;3;3;2;0;1;0;4;
Travis Outlaw;null;546;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;
Luc Mbah a Moute;null;926;0;0;0;0;0;0;0;1;1;2;1;0;1;5;0;
Charles Hayes;null;201;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;"
13-14_11-09_UTA-TOR,11-09,UTA-TOR,UTA,TOR,91-115,16-30,20-32,24-29,31-24,,"Richard Jefferson;F;1524;3;8;0;3;0;0;0;2;2;0;0;0;1;0;6;
Derrick Favors;F;1881;6;14;0;0;5;8;4;3;7;1;2;2;2;5;17;
Enes Kanter;C;2252;5;12;0;0;4;4;1;3;4;2;1;1;1;3;14;
Gordon Hayward;G;2181;10;18;0;5;4;4;1;6;7;4;4;0;2;2;24;
Jamaal Tinsley;G;969;0;0;0;0;0;0;0;3;3;4;0;0;0;3;0;
Rudy Gobert;null;955;1;3;0;0;0;0;3;4;7;0;0;2;2;4;2;
Alec Burks;null;1651;4;10;2;5;7;8;1;2;3;4;0;0;4;3;17;
Marvin Williams;null;918;0;3;0;1;0;0;1;1;2;1;0;0;1;0;0;
John Lucas III;null;984;1;3;1;2;0;0;0;0;0;1;0;0;0;1;3;
Michael Harris;null;686;3;4;0;1;0;0;1;1;2;2;0;0;1;1;6;
Ian Clark;null;399;1;2;0;1;0;0;0;0;0;1;0;0;0;2;2;","Rudy Gay;F;1399;5;11;1;3;0;0;1;1;2;5;2;0;0;1;11;
Amir Johnson;F;1596;3;9;1;2;0;0;5;6;11;1;0;3;1;4;7;
Jonas Valanciunas;C;1408;6;8;0;0;2;2;1;2;3;0;0;1;2;3;14;
DeMar DeRozan;G;1440;5;14;1;3;7;7;1;4;5;3;1;0;1;1;18;
Kyle Lowry;G;913;3;5;3;4;0;0;1;1;2;4;2;0;1;0;9;
Landry Fields;null;1082;1;4;0;0;2;2;0;1;1;3;0;0;1;1;4;
Tyler Hansbrough;null;1676;6;9;0;0;11;13;3;4;7;0;2;0;2;4;23;
Steve Novak;null;410;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;
Terrence Ross;null;1041;4;9;1;4;0;0;0;2;2;3;0;0;2;2;9;
Dwight Buycks;null;1247;1;3;0;1;0;0;0;2;2;2;1;0;1;2;2;
Quincy Acy;null;1069;3;5;2;4;1;2;1;1;2;1;0;0;0;2;9;
Julyan Stone;null;720;2;2;1;1;2;3;0;2;2;1;0;0;0;0;7;
D.J. Augustin;null;399;1;2;0;1;0;0;0;1;1;0;0;0;1;0;2;"
13-14_11-10_MIN-LAL,11-10,MIN-LAL,MIN,LAL,113-90,47-23,20-25,23-28,23-14,,"Corey Brewer;F;2282;6;9;1;3;4;6;0;1;1;3;4;2;2;2;17;
Kevin Love;F;2207;8;17;4;9;5;5;1;12;13;3;1;0;3;2;25;
Nikola Pekovic;C;2064;6;14;0;0;2;3;4;6;10;4;1;1;3;2;14;
Kevin Martin;G;1982;11;23;3;5;2;2;0;5;5;1;2;0;0;1;27;
Ricky Rubio;G;2280;5;9;2;2;0;0;1;9;10;14;5;0;5;1;12;
Dante Cunningham;null;1130;1;4;0;0;0;0;2;3;5;1;0;2;0;3;2;
Jose Juan Barea;null;1139;4;8;0;1;1;1;0;3;3;3;0;0;3;3;9;
Alexey Shved;null;456;1;1;0;0;1;2;2;0;2;0;1;0;1;0;3;
A.J. Price;null;192;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;
Derrick Williams;null;192;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
Gorgui Dieng;null;167;0;1;0;0;0;0;1;1;2;0;0;0;1;0;0;
Shabazz Muhammad;null;167;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;
Robbie Hummel;null;142;1;1;0;0;0;0;1;1;2;0;0;0;1;0;2;","Nick Young;F;1175;3;9;0;3;2;2;1;3;4;0;0;0;0;2;8;
Pau Gasol;F;1757;5;12;0;0;1;3;4;7;11;4;0;4;4;3;11;
Chris Kaman;C;1155;4;10;0;0;0;0;0;5;5;0;0;0;3;2;8;
Steve Blake;G;2082;7;11;5;7;0;0;0;3;3;8;3;0;1;0;19;
Steve Nash;G;801;0;3;0;2;2;2;0;0;0;3;0;0;2;1;2;
Wesley Johnson;null;1333;2;10;1;2;0;0;1;2;3;1;0;1;1;2;5;
Jordan Farmar;null;864;1;7;0;1;2;2;1;0;1;0;1;0;3;0;4;
Jodie Meeks;null;1752;6;10;2;6;2;2;0;2;2;2;1;1;1;2;16;
Jordan Hill;null;1123;3;5;0;0;1;3;6;3;9;1;1;0;2;1;7;
Xavier Henry;null;855;1;8;0;0;0;4;3;5;8;1;1;0;0;0;2;
Shawne Williams;null;1503;3;7;2;5;0;0;0;0;0;4;1;2;1;3;8;"
13-14_11-10_NOP-PHX,11-10,NOP-PHX,NOP,PHX,94-101,16-19,22-23,27-29,29-30,,"Al-Farouq Aminu;F;1530;3;6;0;1;2;2;2;6;8;0;0;0;2;3;8;
Anthony Davis;F;2177;5;13;0;0;4;5;5;7;12;1;4;1;1;4;14;
Jason Smith;C;2475;9;12;0;0;4;4;3;5;8;3;0;2;0;1;22;
Eric Gordon;G;1940;5;14;2;4;2;2;2;3;5;5;2;0;3;1;14;
Jrue Holiday;G;2153;8;17;0;2;0;0;1;1;2;7;0;0;5;4;16;
Tyreke Evans;null;432;0;3;0;0;0;0;0;2;2;1;0;0;1;1;0;
Anthony Morrow;null;1685;7;11;2;4;0;0;0;3;3;0;0;0;1;3;16;
Greg Stiemsma;null;239;0;1;0;0;0;0;1;1;2;0;0;0;1;1;0;
Brian Roberts;null;624;1;5;0;2;0;0;0;0;0;1;0;0;0;2;2;
Lance Thomas;null;429;1;4;0;0;0;0;0;1;1;1;0;0;0;0;2;
Austin Rivers;null;717;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;","PJ Tucker;F;1433;1;5;0;2;0;0;0;2;2;1;2;0;1;1;2;
Channing Frye;F;1224;1;6;0;2;1;2;1;4;5;0;2;1;2;4;3;
Miles Plumlee;C;1674;4;9;0;0;0;0;3;9;12;0;1;5;0;1;8;
Gerald Green;G;1499;6;12;1;5;2;2;2;1;3;2;1;0;2;2;15;
Eric Bledsoe;G;2001;7;11;2;3;8;9;0;4;4;6;1;1;5;3;24;
Goran Dragic;null;1774;4;9;1;3;3;6;0;1;1;3;0;0;1;0;12;
Markieff Morris;null;2033;9;12;1;1;4;4;3;2;5;2;2;1;0;1;23;
Archie Goodwin;null;1001;3;7;0;4;0;0;1;2;3;0;0;3;1;1;6;
Marcus Morris;null;1333;3;7;2;2;0;0;0;5;5;0;1;0;2;1;8;
Viacheslav Kravtsov;null;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Dionte Christmas;null;326;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;"
13-14_11-10_SAS-NYK,11-10,SAS-NYK,SAS,NYK,120-89,35-17,26-28,29-15,30-29,,"Marco Belinelli;F;1547;3;4;1;2;2;2;0;4;4;4;1;0;1;0;9;
Tim Duncan;F;1427;1;4;0;0;9;11;2;8;10;2;0;1;2;1;11;
Boris Diaw;C;1500;1;1;0;0;2;2;0;1;1;1;0;0;0;1;4;
Danny Green;G;1372;8;11;6;9;2;2;0;10;10;0;1;1;1;3;24;
Tony Parker;G;1530;8;12;0;0;1;2;0;2;2;6;0;0;4;0;17;
Manu Ginobili;null;1377;4;10;1;6;0;0;0;5;5;5;0;0;3;3;9;
Tiago Splitter;null;732;2;4;0;0;0;0;3;2;5;1;0;0;0;3;4;
Kawhi Leonard;null;1399;7;10;1;3;3;4;0;4;4;0;1;1;0;3;18;
Patty Mills;null;1350;4;11;2;7;5;5;0;1;1;0;0;0;2;1;15;
Jeff Ayres;null;815;0;3;0;0;0;0;2;2;4;1;1;1;0;2;0;
Nando De Colo;null;513;2;2;1;1;0;0;0;2;2;0;1;0;0;0;5;
Cory Joseph;null;419;1;1;0;0;2;2;1;0;1;0;0;0;0;0;4;
Aron Baynes;null;419;0;3;0;0;0;0;1;1;2;2;0;0;0;2;0;","Carmelo Anthony;F;2083;5;10;0;0;6;8;1;7;8;1;1;0;1;3;16;
Iman Shumpert;F;1324;1;5;0;1;1;2;0;3;3;0;1;0;0;2;3;
Andrea Bargnani;C;1561;5;10;1;2;5;6;0;1;1;0;0;0;1;2;16;
Raymond Felton;G;1490;3;10;1;5;0;0;0;0;0;2;1;1;0;1;7;
Pablo Prigioni;G;910;1;1;1;1;0;0;1;0;1;2;0;0;0;2;3;
J.R. Smith;null;1233;1;9;1;5;2;2;0;2;2;3;1;0;4;1;5;
Metta World Peace;null;1906;5;11;1;3;2;2;2;3;5;3;1;0;2;5;13;
Beno Udrih;null;1183;3;9;0;1;0;0;1;0;1;1;1;0;1;3;6;
Amar'e Stoudemire;null;806;1;5;0;0;0;2;1;1;2;0;0;0;0;2;2;
Tim Hardaway Jr.;null;1135;3;7;1;4;4;5;1;1;2;1;0;0;1;1;11;
Cole Aldrich;null;513;1;2;0;0;0;0;1;6;7;3;0;0;0;0;2;
Toure Murry;null;256;2;3;0;0;1;2;1;0;1;0;0;0;0;0;5;"
13-14_11-10_WAS-OKC,11-10,WAS-OKC,WAS,OKC,105-106,24-27,18-10,31-28,23-31,9-10;,"Trevor Ariza;F;2449;7;13;1;2;0;5;1;4;5;2;0;0;1;3;15;
Nene;F;1521;5;6;0;0;4;10;3;4;7;6;0;1;0;3;14;
Marcin Gortat;C;2340;4;9;0;0;3;5;0;8;8;2;1;4;1;2;11;
Bradley Beal;G;2531;13;23;6;8;2;2;1;5;6;0;1;0;1;0;34;
John Wall;G;2380;3;13;1;5;3;3;0;5;5;8;0;1;4;0;10;
Martell Webster;null;1750;3;10;1;7;1;1;1;4;5;0;1;1;1;4;8;
Al Harrington;null;1341;4;10;3;6;0;0;0;1;1;2;0;0;2;2;11;
Eric Maynor;null;800;0;1;0;1;0;0;0;2;2;2;1;0;2;2;0;
Kevin Seraphin;null;788;1;3;0;0;0;0;1;1;2;1;1;0;0;3;2;","Kevin Durant;F;2768;12;23;1;4;8;9;3;10;13;6;0;1;5;3;33;
Serge Ibaka;F;2757;11;18;0;1;3;4;4;8;12;0;0;3;2;4;25;
Kendrick Perkins;C;1156;0;3;0;0;1;2;1;3;4;3;0;0;1;3;1;
Thabo Sefolosha;G;2139;4;8;0;0;0;0;2;6;8;3;2;1;1;2;8;
Russell Westbrook;G;1801;4;16;3;7;2;2;3;1;4;4;1;0;5;3;13;
Steven Adams;null;1174;0;3;0;0;1;2;1;1;2;0;0;2;1;2;1;
Perry Jones;null;838;2;4;1;2;0;0;1;4;5;1;0;1;0;0;5;
Reggie Jackson;null;1680;6;10;0;1;0;0;0;7;7;4;2;0;2;2;12;
Jeremy Lamb;null;1218;2;6;1;4;3;3;0;2;2;0;2;0;0;1;8;
Derek Fisher;null;369;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;"
13-14_11-11_ATL-CHA,11-11,ATL-CHA,ATL,CHA,103-94,26-29,20-25,34-16,23-24,,"DeMarre Carroll;F;2049;2;5;1;4;0;0;2;8;10;1;0;1;0;1;5;
Paul Millsap;F;1577;2;7;1;2;4;4;1;4;5;0;0;1;1;2;9;
Al Horford;C;1864;9;15;0;1;6;7;0;5;5;5;1;0;4;3;24;
Kyle Korver;G;1979;4;9;2;6;1;1;0;3;3;2;2;0;2;2;11;
Jeff Teague;G;1876;4;14;1;3;5;8;1;2;3;12;2;1;4;2;14;
Dennis Schroder;null;578;2;2;0;0;0;0;0;1;1;1;0;0;0;3;4;
Shelvin Mack;null;500;2;3;2;3;0;0;0;1;1;2;0;0;1;0;6;
Cartier Martin;null;1213;5;7;3;4;3;4;0;3;3;1;1;0;1;4;16;
Elton Brand;null;1151;2;5;0;0;2;2;1;6;7;0;0;0;0;2;6;
Mike Scott;null;1168;3;8;0;3;2;2;1;2;3;2;1;0;0;3;8;
John Jenkins;null;445;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;","Michael Kidd-Gilchrist;F;1978;6;11;0;1;4;5;4;2;6;2;0;0;3;1;16;
Josh McRoberts;F;1843;7;13;5;8;0;0;1;5;6;7;0;0;2;5;19;
Al Jefferson;C;1659;5;11;0;0;0;0;1;6;7;3;1;0;0;3;10;
Gerald Henderson;G;1986;3;8;0;0;5;6;0;1;1;3;0;0;2;2;11;
Kemba Walker;G;1941;3;11;0;2;6;7;1;1;2;3;1;0;4;4;12;
Bismack Biyombo;null;1015;1;1;0;0;0;2;1;5;6;0;0;0;0;2;2;
Jeff Taylor;null;1524;4;10;0;2;2;3;0;6;6;1;0;0;1;4;10;
Cody Zeller;null;1040;1;5;0;0;2;2;1;1;2;1;2;0;0;2;4;
Ramon Sessions;null;1211;3;10;0;0;4;4;1;2;3;2;0;0;1;1;10;
Anthony Tolliver;null;203;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;"
13-14_11-11_CLE-CHI,11-11,CLE-CHI,CLE,CHI,81-96,17-20,19-25,24-19,21-32,,"Alonzo Gee;F;1110;3;4;1;1;0;0;0;1;1;0;1;1;0;0;7;
Tristan Thompson;F;2310;6;11;0;0;2;4;4;9;13;0;1;1;1;4;14;
Andrew Bynum;C;1257;3;5;0;0;5;5;2;4;6;2;0;2;3;1;11;
Dion Waiters;G;2017;6;13;1;3;0;0;0;2;2;2;1;2;6;2;13;
Kyrie Irving;G;2465;5;19;2;5;4;5;0;2;2;4;0;0;3;3;16;
CJ Miles;null;1137;4;10;1;4;0;0;0;2;2;0;1;3;1;3;9;
Jarrett Jack;null;1512;0;6;0;1;2;2;0;0;0;1;1;0;1;1;2;
Anderson Varejao;null;1756;2;5;0;0;1;2;3;3;6;3;2;2;2;3;5;
Matthew Dellavedova;null;302;1;1;0;0;0;0;0;0;0;1;0;0;1;1;2;
Henry Sims;null;282;0;0;0;0;0;2;1;2;3;0;0;0;0;3;0;
Tyler Zeller;null;252;1;1;0;0;0;0;1;2;3;0;0;0;0;1;2;","Luol Deng;F;2196;3;12;0;3;6;6;2;3;5;3;1;0;1;0;12;
Carlos Boozer;F;2030;7;11;0;0;3;3;2;5;7;4;1;2;2;5;17;
Joakim Noah;C;1630;4;5;0;0;2;2;1;5;6;1;3;1;2;5;10;
Jimmy Butler;G;1447;4;13;1;4;2;2;1;1;2;0;1;0;1;0;11;
Derrick Rose;G;2040;8;21;0;2;0;0;1;2;3;7;0;0;0;1;16;
Mike Dunleavy;null;1433;4;6;2;3;5;5;0;4;4;2;1;0;1;1;15;
Taj Gibson;null;1605;3;7;0;0;3;4;3;5;8;0;1;3;2;3;9;
Kirk Hinrich;null;1494;1;6;1;4;3;4;1;2;3;7;1;0;1;5;6;
Nazr Mohammed;null;495;0;2;0;0;0;0;3;0;3;0;0;1;1;1;0;
Tony Snell;null;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"
13-14_11-11_DEN-UTA,11-11,DEN-UTA,DEN,UTA,100-81,20-26,26-19,24-23,30-13,,"Jordan Hamilton;F;1047;2;6;1;5;0;0;1;3;4;0;0;0;1;2;5;
Kenneth Faried;F;1689;6;11;0;0;3;3;4;9;13;0;1;0;1;2;15;
JJ Hickson;C;1733;5;9;0;0;4;6;3;6;9;0;0;1;1;3;14;
Randy Foye;G;1833;3;10;1;5;0;0;0;2;2;1;0;0;0;2;7;
Ty Lawson;G;1922;6;13;0;1;5;6;1;5;6;10;1;0;1;1;17;
Timofey Mozgov;null;1147;3;6;0;0;4;4;2;3;5;0;0;0;2;5;10;
Evan Fournier;null;809;1;3;1;2;2;2;0;0;0;0;0;0;2;3;5;
Darrell Arthur;null;1158;3;7;0;0;0;0;1;4;5;1;0;0;2;3;6;
Anthony Randolph;null;738;2;4;1;2;1;2;0;6;6;1;1;0;3;4;6;
Andre Miller;null;1597;5;8;1;1;4;4;1;0;1;1;0;0;1;3;15;
Nate Robinson;null;726;0;3;0;1;0;0;0;1;1;4;2;0;0;0;0;","Richard Jefferson;F;1500;2;10;0;4;2;4;0;3;3;1;1;0;1;3;6;
Derrick Favors;F;2085;8;15;0;0;5;8;2;11;13;1;0;3;1;5;21;
Enes Kanter;C;2009;6;12;0;0;0;0;2;2;4;0;0;0;3;5;12;
Gordon Hayward;G;2421;8;16;1;5;5;6;0;3;3;2;1;2;7;1;22;
John Lucas III;G;2039;2;8;0;2;0;0;1;2;3;2;0;0;0;2;4;
Marvin Williams;null;1080;2;3;2;3;0;0;0;1;1;0;2;1;1;2;6;
Alec Burks;null;1858;2;9;0;2;3;3;2;3;5;1;0;0;0;3;7;
Jamaal Tinsley;null;704;0;1;0;1;0;0;0;1;1;3;0;0;1;0;0;
Rudy Gobert;null;704;1;3;0;0;1;2;2;0;2;1;0;0;0;1;3;"
13-14_11-11_DET-POR,11-11,DET-POR,DET,POR,103-109,30-34,25-24,23-25,25-26,,"Josh Smith;F;2148;4;9;1;3;2;3;1;2;3;2;1;0;1;1;11;
Greg Monroe;F;2215;9;17;0;0;1;1;4;4;8;2;0;0;0;4;19;
Andre Drummond;C;2547;8;9;0;0;0;2;7;9;16;2;2;1;0;1;16;
Chauncey Billups;G;854;2;5;0;0;0;0;0;1;1;0;0;0;1;1;4;
Brandon Jennings;G;1898;11;24;1;4;5;5;1;3;4;5;3;0;2;2;28;
Rodney Stuckey;null;2026;4;15;1;3;4;6;3;1;4;3;2;1;1;1;13;
Kyle Singler;null;1405;0;2;0;2;2;2;1;3;4;0;0;0;0;1;2;
Will Bynum;null;982;3;7;0;0;2;2;1;1;2;6;2;0;3;2;8;
Charlie Villanueva;null;325;1;3;0;2;0;0;0;0;0;0;0;0;0;0;2;","Nicolas Batum;F;1853;5;11;1;5;1;2;2;1;3;8;1;0;2;3;12;
LaMarcus Aldridge;F;2215;8;19;0;1;2;2;1;11;12;4;1;1;2;2;18;
Robin Lopez;C;1978;7;10;0;0;3;3;4;6;10;1;1;0;2;1;17;
Wesley Matthews;G;1777;1;3;1;3;0;0;1;0;1;1;2;0;0;0;3;
Damian Lillard;G;2100;7;16;5;8;6;6;0;5;5;4;0;1;2;3;25;
Joel Freeland;null;1148;3;5;0;0;0;0;4;2;6;1;0;0;1;2;6;
Mo Williams;null;1901;7;9;1;1;2;2;1;2;3;4;1;0;5;3;17;
Dorell Wright;null;1123;4;7;3;5;0;0;0;4;4;0;0;0;0;1;11;
Thomas Robinson;null;305;0;2;0;0;0;0;0;0;0;0;1;0;1;1;0;"
13-14_11-11_MEM-IND,11-11,MEM-IND,MEM,IND,79-95,16-23,23-23,16-26,24-23,,"Tayshaun Prince;F;1551;2;5;0;0;2;2;0;0;0;1;0;0;0;0;6;
Zach Randolph;F;1623;6;12;0;0;0;0;2;4;6;1;0;0;2;1;12;
Marc Gasol;C;1773;5;13;0;0;5;6;0;6;6;3;2;1;2;2;15;
Tony Allen;G;1426;3;4;1;1;1;1;1;2;3;3;1;0;2;5;8;
Mike Conley;G;1766;4;11;1;3;2;3;0;0;0;2;1;1;1;4;11;
Mike Miller;null;1300;3;6;2;3;0;0;0;3;3;2;0;0;1;0;8;
Kosta Koufos;null;1327;3;6;0;0;2;2;0;0;0;0;0;0;1;1;8;
Quincy Pondexter;null;431;0;4;0;1;0;0;1;0;1;0;1;0;0;1;0;
Nick Calathes;null;1511;2;5;0;0;0;3;0;2;2;6;1;0;1;3;4;
Ed Davis;null;1037;2;8;0;0;1;2;2;5;7;0;0;2;0;2;5;
Jamaal Franklin;null;655;1;1;0;0;0;0;1;3;4;1;0;0;0;1;2;","Paul George;F;1907;9;16;0;3;5;6;2;5;7;1;0;0;2;2;23;
David West;F;1553;5;8;0;0;0;0;1;4;5;3;1;2;2;2;10;
Roy Hibbert;C;1452;1;4;0;0;1;2;1;6;7;1;0;5;2;2;3;
Lance Stephenson;G;2049;5;11;3;5;0;0;0;11;11;12;0;0;1;3;13;
George Hill;G;1487;6;9;0;0;1;1;0;2;2;2;1;1;1;0;13;
Solomon Hill;null;817;0;3;0;3;0;0;2;2;4;1;0;0;3;1;0;
Luis Scola;null;1136;5;10;0;1;2;3;2;2;4;0;1;0;0;4;12;
CJ Watson;null;1202;0;3;0;2;0;0;1;0;1;5;0;0;0;1;0;
Ian Mahinmi;null;1428;2;3;0;0;6;6;0;2;2;0;1;1;1;4;10;
Orlando Johnson;null;987;2;5;1;2;0;0;0;2;2;0;1;0;1;3;5;
Chris Copeland;null;191;1;2;1;2;0;0;0;0;0;0;0;0;0;0;3;
Donald Sloan;null;191;1;2;1;1;0;0;0;0;0;0;0;0;0;0;3;"
13-14_11-11_MIN-LAC,11-11,MIN-LAC,MIN,LAC,107-109,26-23,32-36,22-26,27-24,,"Corey Brewer;F;2141;4;10;1;5;0;0;1;2;3;2;1;0;4;4;9;
Kevin Love;F;2328;8;19;4;8;3;4;5;14;19;7;0;0;3;3;23;
Nikola Pekovic;C;2132;10;14;0;0;3;4;4;6;10;1;2;0;0;4;23;
Kevin Martin;G;2123;9;22;4;8;8;8;0;1;1;3;1;0;1;3;30;
Ricky Rubio;G;2019;2;6;1;1;0;0;0;1;1;10;2;0;3;5;5;
Dante Cunningham;null;998;2;7;0;0;0;0;4;3;7;0;1;1;0;1;4;
Jose Juan Barea;null;1011;1;8;1;2;0;0;1;1;2;4;0;0;1;1;3;
Gorgui Dieng;null;302;2;2;0;0;0;0;1;0;1;0;0;1;0;1;4;
Alexey Shved;null;668;0;3;0;2;0;0;0;1;1;0;0;0;0;2;0;
Derrick Williams;null;678;2;5;0;3;2;2;0;0;0;0;0;0;0;1;6;","Jared Dudley;F;1089;1;1;0;0;0;0;0;1;1;2;1;0;0;1;2;
Blake Griffin;F;2358;11;22;0;0;3;4;1;9;10;5;0;0;0;3;25;
DeAndre Jordan;C;2158;7;8;0;0;0;6;3;8;11;0;1;0;0;4;14;
JJ Redick;G;1442;3;7;1;4;0;0;0;1;1;3;0;0;1;3;7;
Chris Paul;G;2076;7;14;0;2;7;8;1;3;4;11;4;0;6;0;21;
Jamal Crawford;null;1847;7;11;3;6;1;1;0;2;2;6;0;0;3;1;18;
Matt Barnes;null;1349;3;5;0;2;3;4;0;8;8;2;3;1;2;4;9;
Ryan Hollins;null;722;2;4;0;0;3;5;0;2;2;1;0;0;1;0;7;
Darren Collison;null;837;2;5;0;1;0;0;0;3;3;0;0;0;1;1;4;
Byron Mullens;null;522;1;3;0;1;0;0;1;0;1;0;0;1;0;0;2;"
13-14_11-11_ORL-BOS,11-11,ORL-BOS,ORL,BOS,105-120,25-31,25-28,24-28,31-33,,"Maurice Harkless;F;1598;4;10;2;3;2;4;5;0;5;1;1;0;3;2;12;
Jason Maxiell;F;1849;4;9;0;0;2;2;1;0;1;2;0;1;2;3;10;
Nikola Vucevic;C;1734;6;11;0;0;3;3;4;6;10;4;3;1;2;2;15;
Arron Afflalo;G;2319;6;12;2;5;4;5;0;4;4;7;0;0;4;1;18;
Jameer Nelson;G;1451;3;10;2;5;2;2;2;3;5;5;0;0;1;1;10;
E'Twaun Moore;null;1492;4;6;0;1;3;3;0;3;3;2;1;0;2;3;11;
Kyle O'Quinn;null;1388;0;2;0;0;2;2;2;4;6;3;0;1;1;0;2;
Andrew Nicholson;null;789;4;7;0;1;0;0;0;1;1;0;0;1;2;4;8;
Victor Oladipo;null;1609;7;17;1;3;2;2;0;1;1;2;2;0;1;2;17;
Ronnie Price;null;171;1;1;0;0;0;0;0;1;1;1;0;0;0;0;2;","Jeff Green;F;1732;5;9;1;2;5;5;1;3;4;1;0;0;3;3;16;
Brandon Bass;F;1807;5;12;0;0;0;0;2;2;4;2;0;1;1;3;10;
Kelly Olynyk;C;1561;7;9;2;3;0;0;1;6;7;5;1;1;2;4;16;
Avery Bradley;G;1743;10;15;0;1;4;4;0;0;0;0;3;0;3;3;24;
Jordan Crawford;G;1956;7;12;0;1;2;2;1;4;5;10;1;0;0;3;16;
Gerald Wallace;null;1165;0;1;0;0;1;2;0;2;2;5;3;0;1;0;1;
Jared Sullinger;null;1528;7;9;0;1;0;1;1;4;5;3;1;2;1;1;14;
Vitor Faverani;null;864;2;4;0;2;0;0;1;4;5;0;1;2;0;0;4;
Courtney Lee;null;1137;5;8;1;1;1;1;1;1;2;0;1;1;0;1;12;
Phil Pressey;null;907;3;6;1;1;0;0;0;2;2;2;0;0;2;1;7;"
